# German-Esperanto translations created from the Universal dictionary at 2011-08-27T09:43:20-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Abend 	 vespero 	 time 
 heute 	 hodiaŭ 	 adverb 
 hinauf ; oben ; aufwärts 	 supren 	 adverb 
 hindern ; verhindern ; vorbeugen 	 preventi 	 verb 
 hinein ; im 	 en 	 adverb 
 hinter 	 malantaux 	 adverb 
 hoffen 	 esperi 	 verb 
 human ; menschlich 	 homa 	 adjective 
 hungrig 	 malsata 	 adjective 
 husten 	 tusi 	 verb 
 häufig ; oft ; oftmals 	 ofte 	 adverb 
 hören 	 auxdi 	 verb 
 identifizieren 	 identigi 	 verb 
 ihm 	 li 	 pronoun 
 ihr 	 ilia 	 pronoun 
 ihr 	 sxia 	 pronoun 
 in 	 en 	 preposition 
 individuell 	 individua 	 adjective 
 indizieren 	 indiki 	 verb 
 industriell 	 industria 	 adjective 
 innen ; innerhalb ; inwendig 	 ene 	 adverb 
 intelligent ; verständig 	 inteligenta 	 adjective 
 interessant 	 interesa 	 adjective 
 international 	 internacia 	 adjective 
 ja 	 jes 	 abstract 
 jede ; jeder ; jedes 	 cxiu 	 adjective 
 jene 	 tiu 	 pronoun 
 jetzt 	 nuntempe 	 adverb 
 jetzt ; nun 	 nun 	 time 
 jung 	 juna 	 adjective 
 kalt 	 malvarma 	 adjective 
 kapitulieren 	 kapitulaci 	 verb 
 kaputt 	 rompita 	 adjective 
 kaufen 	 aĉeti 	 verb 
 kein 	 nenia 	 adjective 
 klassifizieren ; sortieren ; ordnen 	 klasi 	 verb 
 klauen ; stehlen 	 sxteli 	 verb 
 kleben ; ankleben 	 glui 	 verb 
 klebrig ; pappig 	 glueca 	 adjective 
 klein 	 bagatela 	 adjective 
 klein 	 eta 	 adjective 
 klein 	 malgranda 	 adjective 
 kochen 	 kuiradi 	 verb 
 kochen 	 kuiri 	 verb 
 kommen 	 veni 	 verb 
 kopieren 	 kopii 	 verb 
 korrekt ; richtig 	 gxusta 	 adjective 
 korrespondieren ; übereinstimmen 	 korespondi 	 verb 
 kosten ; schmecken ; verkosten 	 gustumi 	 verb 
 krank 	 malsana 	 adjective 
 kreisförmig ; kreisrund ; ringförmig 	 cirkla 	 adjective 
 kurtz 	 kurta 	 adjective 
 kämpfen ; ringen ; sich prügeln ; sich schlagen 	 batali 	 verb 
 königlich 	 regxa 	 adjective 
 körperlich ; physisch 	 fizika 	 adjective 
 küche 	 kuirejo 	 house 
 künftig 	 venonta 	 adjective 
 küssen 	 kisi 	 verb 
 lachen 	 ridi 	 verb 
 laden ; aufladen 	 sxargxi 	 verb 
 lang 	 longa 	 adjective 
 langsam 	 lanta 	 adjective 
 langsam 	 lante 	 adverb 
 lassen 	 permesi 	 verb 
 laut 	 lauxta 	 adjective 
 leben 	 vivi 	 verb 
 lebend ; lebendig 	 vivanta 	 adjective 
 ledig ; unverheiratet ; alleinstehend 	 unuopa 	 adjective 
 legal 	 leĝa 	 adjective 
 lehren ; unterrichten ; beibringen 	 instrui 	 verb 
 leicht 	 facila 	 adjective 
 leicht 	 malpeza 	 adjective 
 leise 	 kvieta 	 adjective 
 leiten 	 administri 	 verb 
 leiten ; führen 	 konduki 	 verb 
 lesen 	 legi 	 verb 
 lieb ; nett 	 afabla 	 adjective 
 lieben 	 ami 	 verb 
 liefern ; zustellen ; bieten ; ausstatten 	 liveri 	 verb 
 liegen 	 kusxi 	 verb 
 lila ; violett 	 violkolora 	 color 
 linke ; links 	 lefta 	 adjective 
 lokal 	 loka 	 adjective 
 lächeln 	 rideti 	 verb 
 lügen 	 mensogi 	 verb 
 machen ; tun 	 fari 	 verb 
 mager 	 malgrasa 	 adjective 
 malen ; zeichnen 	 desegni 	 verb 
 materiell ; stofflich 	 materia 	 adjective 
 medizinisch 	 medicina 	 adjective 
 mehr 	 pli 	 adjective 
 meiden ; vermeiden 	 eviti 	 verb 
 mein ; meine 	 mia 	 pronoun 
 merkwürdig 	 stranga 	 adjective 
 messen 	 mezuri 	 verb 
 metallisch 	 metala 	 adjective 
 mies ; hässlich 	 malbela 	 adjective 
 militärisch 	 militisto 	 adjective 
 mir ; mich 	 min 	 pronoun 
 mit 	 kun 	 preposition 
 mitten ; unter ; zwischen ; mitten unter 	 inter 	 preposition 
 modern 	 moderna 	 adjective 
 modern 	 moderna 	 adjective 
 morgen 	 morgaŭ 	 adverb 
 munter ; wach 	 maldorma 	 adjective 
 mutmaßlich ; wahrscheinlich 	 versxajna 	 adjective 
 männlich 	 maskla 	 adjective 
 möglich 	 eventuala 	 adjective 
 müde 	 laca 	 adjective 
 nach 	 post 	 adjective 
 nach ; später 	 poste 	 adverb 
 nachahmen ; imitieren 	 imiti 	 verb 
 nahezu ; um ; gegen ; etwa ; ungefähr 	 proksimume 	 adverb 
 national 	 nacia 	 adjective 
 natürlich 	 natura 	 adjective 
 natürliche Sprache 	 natura lingvo 	 linguistics 
 neben 	 proksima 	 adjective 
 nennen ; benennen 	 nomi 	 verb 
 nett 	 beleta 	 adjective 
 neu 	 nova 	 adjective 
 neulich 	 nelge 	 adverb 
 neun 	 naŭ 	 number 
 neunte 	 naŭa 	 number 
 nicht 	 ne 	 adverb 
 niedrig 	 malalta 	 adjective 
 noch 	 ankoraux 	 adverb 
 normal 	 normala 	 adjective 
 normal ; standardmäßig 	 normala 	 adjective 
 nur 	 nur 	 adverb 
 nächst 	 apuda 	 adjective 
 nähen 	 kudri 	 verb 
 nördlich 	 norda 	 adjective 
 ob 	 cxu 	 conjunction 
 oben ; ober ; oberhalb ; über 	 super 	 adverb 
 oder 	 aŭ 	 conjunction 
 offensichtlich 	 evidente 	 adverb 
 orange 	 orangxa 	 color 
 original ; originell ; ursprünglich 	 origina 	 adjective 
 parallel 	 paralela 	 adjective 
 persönlich 	 persona 	 adjective 
 pflügen 	 plugi 	 verb 
 physikalisch 	 fizika 	 adjective 
 planen 	 plani 	 verb 
 platzieren ; legen ; hinlegen 	 meti 	 verb 
 plötzlich 	 subite 	 adverb 
 plötzlich ; unvermittelt 	 subita 	 adjective 
 polieren 	 poluri 	 verb 
 politisch 	 politika 	 adjective 
 praktizieren ; exerzieren 	 ekzerci 	 verb 
 privat 	 privata 	 adjective 
 probieren 	 testi 	 verb 
 probieren ; versuchen 	 provi 	 verb 
 produzieren ; herstellen 	 fabriki 	 verb 
 professionell 	 profesia 	 adjective 
 profitieren 	 profiti 	 verb 
 protestieren 	 protesti 	 verb 
 präsentieren ; zeigen ; demonstrieren 	 montri 	 verb 
 pumpen 	 pumpi 	 verb 
 quadratisch ; viereckig 	 kvadrata 	 adjective 
 rauchen ; qualmen 	 fumi 	 verb 
 recht ; rechts 	 dekstra 	 adjective 
 reduzieren ; vermindern ; verringern 	 plimalgrandigi 	 verb 
 reflektieren ; widerspiegeln ; zurückwerfen ; abspiegeln 	 reflekti 	 verb 
 regelmäßig ; regelrecht ; regulär 	 regula 	 adjective 
 regnen 	 pluvi 	 verb 
 rein ; sauber 	 pura 	 adjective 
 reinigen ; säubern ; putzen ; reinemachen 	 purigi 	 verb 
 rennen 	 kuri 	 verb 
 retten ; schützen 	 savi 	 verb 
 rezent 	 fresxdata 	 adjective 
 richtig ; wahr 	 vera 	 adjective 
 riechen 	 odori 	 verb 
 riskieren 	 riski 	 verb 
 rosa ; rosarot 	 rozkolora 	 color 
 rot 	 rugxa 	 color 
 rund um 	 cxirkaux 	 adverb 
 sagen ; erzählen 	 diri 	 verb 
 salzen 	 sali 	 verb 
 scharf 	 akra 	 adjective 
 scharfsinnig 	 sagaca 	 adjective 
 schauen 	 rigardi 	 verb 
 schicken ; übersenden 	 sendi 	 verb 
 schieben ; stecken ; stoßen 	 puŝi 	 verb 
 schlecht 	 malbona 	 adjective 
 schleudern ; werfen 	 jxeti 	 verb 
 schließen ; verschließen ; zuschließen 	 sxlosi 	 verb 
 schließen ; zumachen 	 fermi 	 verb 
 schmutzig 	 malpura 	 adjective 
 schmutzig ; unrein ; unsauber 	 malpura 	 adjective 
 schneien 	 negxi 	 verb 
 schnell 	 rapida 	 logistics 
 schnell 	 rapide 	 adverb 
 schreiben 	 skribi 	 verb 
 schreien ; brüllen 	 kriegi 	 verb 
 schwarz 	 nigra 	 adjective 
 schwer 	 peza 	 adjective 
 schwer ; schwierig 	 malfacila 	 adjective 
 schälen 	 elŝeligi 	 verb 
 schätzen 	 taksi 	 verb 
 schön 	 bela 	 adjective 
 sechs 	 ses 	 number 
 sechste 	 sesa 	 number 
 sechzig 	 sesdek 	 number 
 sehen 	 vidi 	 verb 
 sehen ; schauen ; beobachten ; anschauen ; ansehen 	 observi 	 verb 
 sehr 	 tre 	 adverb 
 sein 	 esti 	 verb 
 sein 	 lia 	 pronoun 
 seine 	 gxia 	 pronoun 
 seit 	 ekde 	 preposition 
 sicher 	 sekura 	 adjective 
 sie 	 ili 	 pronoun 
 sie 	 ilin 	 pronoun 
 sie 	 ŝi 	 pronoun 
 sieben 	 sep 	 number 
 siebte 	 sepa 	 number 
 siebzig 	 sepdek 	 number 
 signifikant ; wichtig 	 grava 	 adjective 
 sitzen 	 sidi 	 verb 
 so 	 tiel 	 adverb 
 sofort 	 momente 	 adverb 
 sogar 	 ecx 	 adverb 
 sparen 	 ŝpari 	 verb 
 sparsam ; ökonomisch 	 ekonomia 	 adjective 
 spezifisch 	 specifa 	 adjective 
 spielen 	 ludi 	 verb 
 sprechen ; reden 	 paroli 	 verb 
 springen 	 salti 	 verb 
 spät 	 malfrue 	 adverb 
 stark 	 forta 	 adjective 
 starr 	 nefleksebla 	 adjective 
 stattfinden ; geschehen ; passieren ; vorkommen 	 okazi 	 verb 
 stehen 	 stari 	 verb 
 steigen ; wachsen ; zunehmen 	 kreski 	 verb 
 steil 	 abrupta 	 adjective 
 sterben 	 morti 	 verb 
 stets ; immer 	 ĉiam 	 adverb 
 steuern ; lenken 	 stiri 	 verb 
 stinken 	 fetori 	 verb 
 streiten ; sich streiten 	 disputi 	 verb 
 studieren 	 studi 	 verb 
 stützen ; unterstützen 	 subteni 	 verb 
 system ; System 	 sistemo 	 linguistics 
 südlich 	 aŭstrala 	 adjective 
 süß 	 dolcxa 	 adjective 
 tag ; Tag 	 tago 	 nature 
 tanzen 	 danci 	 verb 
 tatsächlich ; wirklich 	 vere 	 adverb 
 tausend 	 mil 	 number 
 teilen ; verteilen 	 fendi 	 verb 
 telefonieren ; anrufen 	 alvoki 	 verb 
 tot ; leblos 	 morta 	 adjective 
 tragen 	 porti 	 verb 
 tragen 	 porti 	 verb 
 trainieren ; schulen 	 trejni 	 verb 
 transportieren 	 transporti 	 verb 
 traurig 	 malgaja 	 adjective 
 treffen ; zusammenkommen ; begegnen 	 renkonti 	 verb 
 treten 	 kiki 	 verb 
 trinken 	 trinki 	 verb 
 trocken 	 seka 	 adjective 
 trocknen 	 sekigi 	 verb 
 trotz 	 malgraŭ 	 preposition 
 trotzen 	 defii 	 verb 
 tun 	 agi 	 verb 
 töricht 	 stulta 	 adjective 
 töten ; umbringen 	 mortigi 	 verb 
 und 	 kaj 	 conjunction 
 unecht ; falsch 	 falsa 	 adjective 
 uns 	 nin 	 pronoun 
 unser ; unsere ; unsere 	 nia 	 pronoun 
 unten 	 suben 	 adjective 
 unter 	 sub 	 adjective 
 verantwortlich 	 respondeca 	 adjective 
 verbessern 	 plibonigi 	 verb 
 verbinden ; zusammenfügen ; zusammenschließen 	 kunligi 	 verb 
 vergangen 	 pasinta 	 adjective 
 vergessen 	 forgesi 	 verb 
 vergiften 	 veneni 	 verb 
 vergleichen 	 kompari 	 verb 
 verheiratet 	 edzinigxinta 	 adjective 
 verhüllen ; verschleiern ; einhüllen 	 envolvi 	 verb 
 verkaufen 	 vendi 	 verb 
 verletzen 	 damagxi 	 verb 
 verletzen ; verwunden 	 vundi 	 verb 
 verlieren 	 perdi 	 verb 
 verlieren 	 perdi 	 verb 
 versagen 	 neglekti 	 verb 
 verschieden 	 diversa 	 adjective 
 verstehen 	 kompreni 	 verb 
 verstehen ; begreifen 	 kompreni 	 verb 
 verzeihen 	 pardoni 	 verb 
 veröffentlichen 	 publikigi 	 verb 
 viel 	 multe 	 adjective 
 viele 	 multaj 	 adjective 
 vielleicht 	 eble 	 adverb 
 vier 	 kvar 	 number 
 vierte ; vierter 	 kvara 	 number 
 vierzig 	 kvardek 	 number 
 voll 	 plena 	 adjective 
 vollendet ; vollständig 	 kompleta 	 adjective 
 vollständig 	 tuta 	 adjective 
 voraus ; vordere 	 antauxen 	 adverb 
 vorbereiten 	 pretigi 	 verb 
 vordere 	 antauxa 	 adjective 
 vorhanden 	 havebla 	 adjective 
 vorig ; früher 	 estinta 	 adjective 
 vorstellen 	 prezenti 	 verb 
 vorstellen 	 prezenti 	 verb 
 wahr ; wahrhaft 	 verema 	 adjective 
 wahrlich ; wirklich 	 vere 	 adverb 
 wahrscheinlich 	 versxajne 	 adverb 
 wann immer 	 kiam ajn 	 conjunction 
 warm 	 varma 	 adjective 
 warm 	 varma 	 adjective 
 warum 	 kial 	 adverb 
 was 	 kio 	 pronoun 
 waschen 	 lavi 	 verb 
 weiblich 	 ina 	 adjective 
 weich 	 mola 	 adjective 
 weil 	 cxar 	 conjunction 
 weil 	 ĉar 	 conjunction 
 weinen 	 plori 	 verb 
 weise 	 sagxa 	 adjective 
 weiter 	 plue 	 adjective 
 weiß 	 blanka 	 adjective 
 welch ; welcher 	 kiu 	 pronoun 
 wem 	 kiu 	 pronoun 
 wenig 	 malmulta 	 adjective 
 wenig ; bisschen 	 malmulta 	 adverb 
 wenn 	 se 	 conjunction 
 wer 	 kiu 	 pronoun 
 wesentlich ; primär ; haupt- ; hauptsächlich 	 ĉefa 	 adjective 
 wessen 	 kies 	 pronoun 
 westen ; Westen 	 okcidento 	 logistics 
 wie 	 kiel 	 adverb 
 wiederum 	 ree 	 adverb 
 wiegen 	 pezi 	 verb 
 winzig 	 eta 	 adjective 
 wir 	 ni 	 pronoun 
 wirtschaftlich 	 ekonomia 	 adjective 
 während 	 dum 	 preposition 
 wünschen 	 deziri 	 verb 
 würzen 	 kondimenti 	 verb 
 zart ; zierlich 	 delikata 	 adjective 
 zehn 	 dek 	 number 
 zehnte 	 deka 	 number 
 zentral 	 centra 	 adjective 
 zerdrücken ; zerquetschen 	 dispremi 	 verb 
 zerdrücken ; zerquetschen 	 pisti 	 verb 
 ziehen 	 tiri 	 verb 
 zitieren 	 mencii 	 verb 
 zu 	 al 	 preposition 
 zugeben ; zulassen ; anerkennen 	 koncedi 	 verb 
 zuhören ; hören ; anhören 	 aŭdi 	 verb 
 zuletzt ; letzte ; letzter 	 lasta 	 adjective 
 zurückgeben 	 redoni 	 verb 
 zusammen 	 kune 	 adverb 
 zustimmen ; übereinstimmen 	 konsenti 	 verb 
 zwantig 	 dudek 	 number 
 zwei 	 du 	 number 
 zweite 	 dua 	 adjective 
 zwölfte 	 dekdua 	 number 
 Äußere 	 eksterajxo 	 mathematics 
 Öl 	 oleo 	 material 
 Überraschung 	 surprizo 	 abstract 
 ähnlich 	 simila 	 adjective 
 öffentlich 	 publika 	 travelling 
 überraschen 	 surprizi 	 verb 
 übersteigen ; übertreffen 	 superi 	 verb 
