# German-French translations created from the Universal dictionary at 2011-08-27T09:43:09-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Abend 	 soir 	 time 
 finanziell 	 financier 	 adjective 
 finden 	 trouver 	 verb 
 fliegen 	 voler 	 verb 
 flüssig 	 liquide 	 adjective 
 folgen 	 suivre 	 verb 
 folgend ; nächste ; nachfolgend ; nachstehend ; nächster 	 suivant 	 adjective 
 fordern ; verlangen 	 appeler 	 verb 
 forschen 	 recherche 	 verb 
 fortsetzen ; weitermachen 	 continuer 	 verb 
 fragen 	 demander 	 verb 
 frei 	 libre 	 adjective 
 frei ; kostenlos ; umsonst 	 gratuit 	 adjective 
 freundlich 	 amical 	 adjective 
 frisch 	 frais 	 adjective 
 früh 	 prématuré 	 adjective 
 früh 	 tôt 	 adverb 
 funktionieren ; arbeiten 	 travailler 	 verb 
 fähig 	 capable 	 adjective 
 fühlen ; tasten 	 sentir 	 verb 
 füllen ; auffüllen 	 emplir 	 verb 
 fünf 	 cinq 	 number 
 fünfte ; fünfter 	 cinquième 	 number 
 fünfzehn 	 quinze 	 number 
 fünfzig 	 cinquante 	 number 
 ganz ; gesamt ; gesamter ; völlig 	 complet 	 adjective 
 geben 	 donner 	 verb 
 geduldig 	 patient 	 adjective 
 gefährlich 	 dangereux 	 adjective 
 gegeben ; angegeben 	 déterminé 	 adjective 
 gegen 	 contre 	 preposition 
 gegenwärtig 	 présent 	 adjective 
 gegenwärtig ; geläufig ; gängig 	 actuel 	 adjective 
 geheim 	 clandestin 	 adjective 
 gehen 	 marcher 	 verb 
 gehen ; bewegen sich 	 aller 	 verb 
 gelb 	 jaune 	 color 
 geläufig 	 courant 	 adjective 
 gemeinsam 	 commun 	 adjective 
 genau 	 exactement 	 adverb 
 genau ; gerade 	 exactement 	 adverb 
 genießen 	 aimer 	 verb 
 genug 	 assez 	 adverb 
 gerade 	 pair 	 adjective 
 geräuschlos ; still 	 calme 	 adjective 
 geschlossen ; ungeöffnet 	 fermé 	 adjective 
 gesund 	 sain 	 adjective 
 gesund 	 salubre 	 adjective 
 gewaltsam 	 violent 	 adjective 
 gewinnen 	 gagner 	 verb 
 gewiss ; bestimmt ; sicher ; sicherlich 	 assurément 	 adverb 
 gewiss ; sicher 	 certain 	 adjective 
 gewöhnlich 	 généralement 	 adverb 
 gewöhnlich 	 normalement 	 adverb 
 geöffnet ; ofen ; offen 	 ouvert 	 adjective 
 geöffnet ; offen 	 ouvert 	 adjective 
 glatt 	 lissé 	 adjective 
 glauben ; trauen 	 croire 	 verb 
 gleich 	 égal 	 adjective 
 glücklich 	 chanceux 	 adjective 
 glücklich 	 heureux 	 adjective 
 golden 	 d'or 	 color 
 grau 	 gris 	 adjective 
 gross 	 grand 	 adjective 
 groß 	 grand 	 adjective 
 groß 	 grand 	 adjective 
 grundlegend 	 central 	 adjective 
 grün 	 vert 	 color 
 gut 	 bien 	 adverb 
 gut ; lieb 	 bon 	 adjective 
 haben 	 avoir 	 verb 
 hallo ; tschüss 	 salut 	 linguistics 
 halten 	 durer 	 verb 
 halten 	 tenir 	 verb 
 halten ; erhalten 	 tenir 	 verb 
 handeln 	 commercer 	 verb 
 handeln ; sich benehmen ; sich verhalten 	 procéder 	 verb 
 hassen 	 mépriser 	 verb 
 hauptsächlich 	 majeur 	 adjective 
 heilen ; behandeln 	 traiter 	 verb 
 heiraten 	 épouser 	 verb 
 hell ; klar 	 clair 	 adjective 
 herrschen ; regieren 	 gouverner 	 verb 
 heute 	 aujourd'hui 	 adverb 
 heute abend 	 ce soir 	 adverb 
 hier 	 ici 	 adverb 
 hier 	 ici 	 adverb 
 hinauf ; oben ; aufwärts 	 haut 	 adverb 
 hindern ; verhindern ; vorbeugen 	 empêcher 	 verb 
 hinein ; im 	 dans 	 adverb 
 hinter 	 derrière 	 adverb 
 hinterlassen ; zurücklassen 	 laisser 	 verb 
 hoffen 	 espérer 	 verb 
 human ; menschlich 	 humain 	 adjective 
 hungrig 	 affamé 	 adjective 
 husten 	 tousser 	 verb 
 häufig 	 fréquent 	 adjective 
 häufig ; oft ; oftmals 	 souvent 	 adverb 
 hören 	 entendre 	 verb 
 identifizieren 	 identifier 	 verb 
 ihm 	 le 	 pronoun 
 ihr 	 leur 	 pronoun 
 ihr 	 son 	 pronoun 
 in 	 dans 	 preposition 
 individuell 	 individuel 	 adjective 
 indizieren 	 indiquer 	 verb 
 industriell 	 industriel 	 adjective 
 innen ; innerhalb ; inwendig 	 à 	 adverb 
 intelligent ; verständig 	 habile 	 adjective 
 interessant 	 intéressant 	 adjective 
 international 	 international 	 adjective 
 irgendetwas 	 n'importe quoi 	 pronoun 
 ja 	 oui 	 abstract 
 jede ; jeder ; jedes 	 chacun 	 adjective 
 jene 	 ce 	 pronoun 
 jenseits 	 passée 	 adverb 
 jetzt 	 actuellement 	 adverb 
 jetzt ; nun 	 maintenant 	 time 
 jung 	 jeune 	 adjective 
 kalt 	 froid 	 adjective 
 kapitulieren 	 abdiquer 	 verb 
 kaputt 	 cassé 	 adjective 
 kaufen 	 acheter 	 verb 
 kein 	 aucun 	 adjective 
 klassifizieren ; sortieren ; ordnen 	 classer 	 verb 
 klauen ; stehlen 	 voler 	 verb 
 kleben ; ankleben 	 coller 	 verb 
 klebrig ; pappig 	 collant 	 adjective 
 klein 	 modeste 	 adjective 
 klein 	 petit 	 adjective 
 klein 	 petit 	 adjective 
 kochen 	 cuisiner 	 verb 
 kochen 	 cuisiner 	 verb 
 kommen 	 venir 	 verb 
 kopieren 	 copier 	 verb 
 korrekt ; richtig 	 correct 	 adjective 
 korrespondieren ; übereinstimmen 	 aller 	 verb 
 kosten ; schmecken ; verkosten 	 goût 	 verb 
 krank 	 malade 	 adjective 
 kreisförmig ; kreisrund ; ringförmig 	 rond 	 adjective 
 kurtz 	 court 	 adjective 
 kämpfen ; ringen ; sich prügeln ; sich schlagen 	 lutter 	 verb 
 königlich 	 royal 	 adjective 
 körperlich ; physisch 	 physique 	 adjective 
 küche 	 cuisine 	 house 
 künftig 	 futur 	 adjective 
 küssen 	 baiser 	 verb 
 lachen 	 rire 	 verb 
 laden ; aufladen 	 charger 	 verb 
 landen 	 atterrir 	 verb 
 lang 	 long 	 adjective 
 langsam 	 lent 	 adjective 
 langsam 	 lentement 	 adverb 
 lassen 	 laisser 	 verb 
 laut 	 fort 	 adjective 
 leben 	 vivre 	 verb 
 lebend ; lebendig 	 vif 	 adjective 
 ledig ; unverheiratet ; alleinstehend 	 simple 	 adjective 
 legal 	 légal 	 adjective 
 lehren ; unterrichten ; beibringen 	 enseigner 	 verb 
 leicht 	 facile 	 adjective 
 leicht 	 léger 	 adjective 
 leise 	 tranquille 	 adjective 
 leiten 	 administrer 	 verb 
 leiten ; führen 	 conduire 	 verb 
 lesen 	 lire 	 verb 
 letzter 	 dernier 	 adverb 
 lieb ; nett 	 gentil 	 adjective 
 lieben 	 aimer 	 verb 
 lieben ; mögen 	 aimer 	 verb 
 liefern ; zustellen ; bieten ; ausstatten 	 fournir 	 verb 
 liegen 	 reposer 	 verb 
 lila ; violett 	 violet 	 color 
 linke ; links 	 gauche 	 adjective 
 lokal 	 local 	 adjective 
 lächeln 	 sourire 	 verb 
 lügen 	 mentir 	 verb 
 machen ; tun 	 rendre 	 verb 
 mager 	 maigre 	 adjective 
 malen ; zeichnen 	 dessiner 	 verb 
 materiell ; stofflich 	 matériel 	 adjective 
 medizinisch 	 médical 	 adjective 
 mehr 	 plus 	 adjective 
 mehrere 	 quelque 	 adjective 
 meiden ; vermeiden 	 éviter 	 verb 
 mein ; meine 	 mon 	 pronoun 
 merkwürdig 	 bizarre 	 adjective 
 messen 	 mesurer 	 verb 
 metallisch 	 métallique 	 adjective 
 mies ; hässlich 	 laid 	 adjective 
 militärisch 	 militaire 	 adjective 
 mir ; mich 	 me 	 pronoun 
 mit 	 avec 	 preposition 
 mitten ; unter ; zwischen ; mitten unter 	 entre 	 preposition 
 modern 	 moderne 	 adjective 
 modern 	 moderne 	 adjective 
 morgen 	 demain 	 adverb 
 munter ; wach 	 éveillé 	 adjective 
 mutmaßlich ; wahrscheinlich 	 possible 	 adjective 
 männlich 	 mâle 	 adjective 
 männlich 	 mâle 	 adjective 
 möglich 	 possible 	 adjective 
 müde 	 fatigué 	 adjective 
 nach 	 sur 	 adjective 
 nach ; später 	 ensuite 	 adverb 
 nachahmen ; imitieren 	 imiter 	 verb 
 nahezu ; um ; gegen ; etwa ; ungefähr 	 environ 	 adverb 
 national 	 national 	 adjective 
 natürlich 	 naturel 	 adjective 
 natürliche Sprache 	 langue 	 linguistics 
 neben 	 proche 	 adjective 
 nennen ; benennen 	 nommer 	 verb 
 nett 	 gentil 	 adjective 
 neu 	 neuf 	 adjective 
 neulich 	 récemment 	 adverb 
 neun 	 neuf 	 number 
 neunte 	 neuvième 	 number 
 neunzehn 	 dix-neuf 	 number 
 neunzig 	 quatre-vingt-dix 	 number 
 nicht 	 non 	 adverb 
 niedrig 	 bas 	 adjective 
 niemals 	 jamais 	 adverb 
 noch 	 encore 	 adverb 
 normal 	 normal 	 adjective 
 normal ; standardmäßig 	 normal 	 adjective 
 nur 	 seulement 	 adverb 
 nächst 	 adjacent 	 adjective 
 nähen 	 coudre 	 verb 
 nördlich 	 nord 	 adjective 
 nützlig sein 	 profiter 	 verb 
 ob 	 si 	 conjunction 
 oben ; ober ; oberhalb ; über 	 dessus 	 adverb 
 oder 	 ou 	 conjunction 
 offensichtlich 	 manifestement 	 adverb 
 orange 	 orange 	 color 
 original ; originell ; ursprünglich 	 original 	 adjective 
 parallel 	 parallèle 	 adjective 
 persönlich 	 personnel 	 adjective 
 pflügen 	 labourer 	 verb 
 physikalisch 	 physique 	 adjective 
 planen 	 organiser 	 verb 
 platzieren ; legen ; hinlegen 	 pondre 	 verb 
 plötzlich 	 subitement 	 adverb 
 plötzlich ; unvermittelt 	 soudain 	 adjective 
 polieren 	 cirer 	 verb 
 politisch 	 politique 	 adjective 
 populär 	 populaire 	 adjective 
 populär 	 populaire 	 adjective 
 praktizieren ; exerzieren 	 exercer 	 verb 
 privat 	 privé 	 adjective 
 probieren 	 essayer 	 verb 
 probieren ; versuchen 	 essayer 	 verb 
 produzieren ; herstellen 	 produire 	 verb 
 professionell 	 professionnel 	 adjective 
 profitieren 	 profit 	 verb 
 protestieren 	 protester 	 verb 
 präsentieren ; zeigen ; demonstrieren 	 montrer 	 verb 
 pumpen 	 pomper 	 verb 
 quadratisch ; viereckig 	 carré 	 adjective 
 rauchen ; qualmen 	 fumer 	 verb 
 recht ; rechts 	 droit 	 adjective 
 reduzieren ; vermindern ; verringern 	 réduire 	 verb 
 reflektieren ; widerspiegeln ; zurückwerfen ; abspiegeln 	 réfléchir 	 verb 
 regelmäßig ; regelrecht ; regulär 	 habituel 	 adjective 
 regnen 	 pleuvoir 	 verb 
 rein ; sauber 	 propre 	 adjective 
 reinigen ; säubern ; putzen ; reinemachen 	 polir 	 verb 
 rennen 	 courir 	 verb 
 retten ; schützen 	 assurer 	 verb 
 rezent 	 récent 	 adjective 
 richtig ; wahr 	 vrai 	 adjective 
 riechen 	 sentir 	 verb 
 riskieren 	 risquer 	 verb 
 rosa ; rosarot 	 rose 	 color 
 rot 	 rouge 	 color 
 rund um 	 autour 	 adverb 
 sagen ; erzählen 	 dire 	 verb 
 salzen 	 saler 	 verb 
 scharf 	 aiguisé 	 adjective 
 scharfsinnig 	 astucieux 	 adjective 
 schauen 	 regarder 	 verb 
 schicken ; übersenden 	 poster 	 verb 
 schieben ; stecken ; stoßen 	 pousser 	 verb 
 schlecht 	 mauvais 	 adjective 
 schleudern ; werfen 	 jeter 	 verb 
 schließen ; verschließen ; zuschließen 	 fermer 	 verb 
 schließen ; zumachen 	 clore 	 verb 
 schmutzig 	 sale 	 adjective 
 schmutzig ; unrein ; unsauber 	 sale 	 adjective 
 schneien 	 neiger 	 verb 
 schnell 	 rapide 	 logistics 
 schnell 	 vite 	 adverb 
 schockieren 	 choquer 	 verb 
 schreiben 	 écrire 	 verb 
 schreien ; brüllen 	 glapir 	 verb 
 schwarz 	 noir 	 adjective 
 schwer 	 lourd 	 adjective 
 schwer ; schwierig 	 dur 	 adjective 
 schälen 	 peler 	 verb 
 schätzen 	 estimer 	 verb 
 schätzen 	 évaluer 	 verb 
 schön 	 beau 	 adjective 
 sechs 	 six 	 number 
 sechste 	 sixième 	 number 
 sechzehn 	 seize 	 number 
 sechzig 	 soixante 	 number 
 sehen 	 voir 	 verb 
 sehen ; schauen ; beobachten ; anschauen ; ansehen 	 regarder 	 verb 
 sehr 	 très 	 adverb 
 sein 	 sa 	 pronoun 
 seine 	 sa 	 pronoun 
 seit 	 depuis 	 preposition 
 sich 	 se 	 pronoun 
 sich ; sich selbst 	 se 	 pronoun 
 sicher 	 sûr 	 adjective 
 sie 	 elle 	 pronoun 
 sie 	 ils 	 pronoun 
 sie 	 les 	 pronoun 
 sieben 	 sept 	 number 
 siebte 	 septième 	 number 
 siebzig 	 soixante-dix 	 number 
 signifikant ; wichtig 	 important 	 adjective 
 silbern ; silberhell 	 argenté 	 adjective 
 singen 	 chanter 	 verb 
 sitzen 	 poser 	 verb 
 so 	 ainsi 	 adverb 
 sofort 	 immédiatement 	 adverb 
 sogar 	 voire 	 adverb 
 sparen 	 épargner 	 verb 
 sparsam ; ökonomisch 	 économe 	 adjective 
 spezifisch 	 spécifique 	 adjective 
 spielen 	 jouer 	 verb 
 sprechen ; reden 	 parler 	 verb 
 springen 	 sauter 	 verb 
 spärlich 	 clairsemé 	 adjective 
 spät 	 tard 	 adverb 
 spät ; verzögert 	 tard 	 adjective 
 stark ; wirksam ; wirkungsvoll 	 puissant 	 adjective 
 starr 	 rigide 	 adjective 
 stattfinden ; geschehen ; passieren ; vorkommen 	 arriver 	 verb 
 stehen 	 être debout 	 verb 
 steigen ; wachsen ; zunehmen 	 augmenter 	 verb 
 steil 	 escarpé 	 adjective 
 sterben 	 mourir 	 verb 
 stets ; immer 	 toujours 	 adverb 
 steuern ; lenken 	 conduire 	 verb 
 stinken 	 sentir 	 verb 
 streiten ; sich streiten 	 se disputer 	 verb 
 studieren 	 étudier 	 verb 
 stützen ; unterstützen 	 soutenir 	 verb 
 system ; System 	 système 	 linguistics 
 südlich 	 austral 	 adjective 
 süß 	 sucré 	 adjective 
 süßen 	 sucrer 	 verb 
 tag ; Tag 	 journée 	 nature 
 tanzen 	 danser 	 verb 
 tatsächlich ; wirklich 	 réellement 	 adverb 
 tausend 	 mille 	 number 
 teilen 	 partager 	 verb 
 teilen ; verteilen 	 diviser 	 verb 
 telefonieren ; anrufen 	 téléphoner 	 verb 
 toll ; großartig 	 formidable 	 adjective 
 tot ; leblos 	 crevé 	 adjective 
 tragen 	 porter 	 verb 
 tragen 	 porter 	 verb 
 trainieren ; schulen 	 former 	 verb 
 transportieren 	 transporter 	 verb 
 traurig 	 triste 	 adjective 
 treffen ; zusammenkommen ; begegnen 	 rencontrer 	 verb 
 treten 	 coup de pied 	 verb 
 trinken 	 boire 	 verb 
 trocken 	 sec 	 adjective 
 trocknen 	 sécher 	 verb 
 trotz 	 nonobstant 	 preposition 
 trotzen 	 affronter 	 verb 
 tun 	 agir 	 verb 
 töricht 	 sot 	 adjective 
 töten ; umbringen 	 éliminer 	 verb 
 und 	 et 	 conjunction 
 unecht ; falsch 	 faux 	 adjective 
 ungebräuchlich ; ungewohnt ; ungewöhnlich 	 inhabituel 	 adjective 
 ungeduldig 	 impatient 	 adjective 
 ungestüm 	 violent 	 adjective 
 uns 	 nous 	 pronoun 
 unser ; unsere ; unsere 	 nous 	 pronoun 
 unten 	 bas 	 adjective 
 unter 	 au-dessous 	 adjective 
 untergeordnet 	 sujet 	 adjective 
 verantwortlich 	 responsable 	 adjective 
 verbessern 	 améliorer 	 verb 
 verbinden ; zusammenfügen ; zusammenschließen 	 joindre 	 verb 
 verbringen 	 passer 	 verb 
 verfehlen 	 manquer 	 verb 
 vergangen 	 passé 	 adjective 
 vergessen 	 oublier 	 verb 
 vergiften 	 empoisonner 	 verb 
 vergleichen 	 comparer 	 verb 
 verheiratet 	 marié 	 adjective 
 verhüllen ; verschleiern ; einhüllen 	 envelopper 	 verb 
 verkaufen 	 vendre 	 verb 
 verletzen 	 blesser 	 verb 
 verletzen ; verwunden 	 blesser 	 verb 
 verlieren 	 perdre 	 verb 
 verlieren 	 perdre 	 verb 
 verpassen ; versäumen 	 manquer 	 verb 
 versagen 	 manquer 	 verb 
 verschieden 	 divers 	 adjective 
 verstehen 	 saisir 	 verb 
 verstehen ; begreifen 	 comprendre 	 verb 
 verzeihen 	 pardonner 	 verb 
 veröffentlichen 	 promulguer 	 verb 
 viel 	 beaucoup 	 adjective 
 viele 	 beaucoup 	 adjective 
 vielleicht 	 peut-être 	 adverb 
 vier 	 quatre 	 number 
 vierte ; vierter 	 quatrième 	 number 
 vierzehn 	 quatorze 	 number 
 vierzig 	 quarante 	 number 
 voll 	 plein 	 adjective 
 vollendet ; vollständig 	 complet 	 adjective 
 vollständig 	 entier 	 adjective 
 vor 	 il y a 	 adjective 
 voraus ; vordere 	 avant 	 adverb 
 vorbei 	 par 	 adverb 
 vorbereiten 	 préparer 	 verb 
 vordere 	 premier 	 adjective 
 vorhaben 	 projeter 	 verb 
 vorhanden 	 disponible 	 adjective 
 vorig ; früher 	 ancien 	 adjective 
 vorstellen 	 présenter 	 verb 
 vorstellen 	 présenter 	 verb 
 wahr ; wahrhaft 	 vrai 	 adjective 
 wahrlich ; wirklich 	 en réalité 	 adverb 
 wahrscheinlich 	 vraisemblablement 	 adverb 
 warm 	 chaleureux 	 adjective 
 warm 	 chaud 	 adjective 
 warten 	 attendre 	 verb 
 warum 	 pourquoi 	 adverb 
 was 	 quoi 	 pronoun 
 waschen 	 laver 	 verb 
 weiblich 	 féminin 	 adjective 
 weich 	 doux 	 adjective 
 weil 	 car 	 conjunction 
 weil 	 car 	 conjunction 
 weinen 	 pleurer 	 verb 
 weise 	 sage 	 adjective 
 weiter 	 plus 	 adjective 
 weiß 	 blanc 	 adjective 
 welch ; welcher 	 quel 	 pronoun 
 wem 	 que 	 pronoun 
 wenig 	 peu 	 adjective 
 wenig ; bisschen 	 peu 	 adverb 
 weniger 	 moins 	 adjective 
 wenigsten 	 le moins 	 adverb 
 wenn 	 si 	 conjunction 
 wer 	 qui 	 pronoun 
 wesentlich ; primär ; haupt- ; hauptsächlich 	 majeur 	 adjective 
 wessen 	 de qui 	 pronoun 
 westen ; Westen 	 ouest 	 logistics 
 westlich 	 ouest 	 adjective 
 wie 	 comme 	 adverb 
 wiederum 	 encore 	 adverb 
 wiegen 	 peser 	 verb 
 winzig 	 minuscule 	 adjective 
 wir 	 nous 	 pronoun 
 wirtschaftlich 	 économique 	 adjective 
 während 	 pendant 	 preposition 
 wünschen 	 désirer 	 verb 
 würzen 	 relever 	 verb 
 zart ; zierlich 	 délicat 	 adjective 
 zehn 	 dix 	 number 
 zentral 	 central 	 adjective 
 zerdrücken ; zerquetschen 	 écraser 	 verb 
 zerdrücken ; zerquetschen 	 écraser 	 verb 
 ziehen 	 tirer 	 verb 
 zitieren 	 citer 	 verb 
 zu 	 vers 	 preposition 
 zugeben ; zulassen ; anerkennen 	 accepter 	 verb 
 zuhören ; hören ; anhören 	 ausculter 	 verb 
 zuletzt ; letzte ; letzter 	 dernier 	 adjective 
 zurückgeben 	 rendre 	 verb 
 zusammen 	 ensemble 	 adverb 
 zustimmen ; übereinstimmen 	 être d'accord 	 verb 
 zwantig 	 vingt 	 number 
 zweite 	 deuxième 	 adjective 
 zwischen 	 entre 	 adverb 
 zwölfte 	 douzième 	 number 
 Äußere 	 extérieur 	 mathematics 
 Öl 	 huile 	 material 
 Überraschung 	 surprise 	 abstract 
 ähnlich 	 semblable 	 adjective 
 öffentlich 	 public 	 travelling 
 östlich 	 est 	 adjective 
 übergeben 	 remettre 	 verb 
 überlegen 	 raisonner 	 verb 
 überraschen 	 surprendre 	 verb 
 übersteigen ; übertreffen 	 dépasser 	 verb 
 üblich 	 commun 	 adjective 
 üblich 	 usuel 	 adjective 
